cell_type,concentration,n_distinguishable,top_markers
1,0.12558163076585405,59,"[669, 1022, 809, 521, 852, 21, 316, 1132, 27, 801]"
1,0.14665405557509434,70,"[815, 809, 1022, 521, 852, 21, 316, 1132, 27, 801]"
1,0.17126240426614048,83,"[65, 1022, 809, 521, 852, 21, 316, 1132, 27, 801]"
1,0.20000000000000004,113,"[815, 809, 1022, 521, 852, 21, 316, 1132, 27, 801]"
2,0.0001,0,"[992, 892, 341, 899, 434, 396, 210, 342, 1000, 408]"
2,0.0001167798623737652,0,"[1138, 905, 1023, 626, 952, 1126, 559, 562, 399, 1121]"
2,0.0001363753625603554,0,"[21, 573, 669, 500, 1119, 1130, 16, 792, 167, 1121]"
2,0.00015925896070970654,0,"[792, 631, 739, 895, 16, 1130, 500, 167, 115, 1121]"
2,0.00018598239513468407,0,"[1119, 663, 72, 631, 359, 792, 739, 115, 167, 1121]"
2,0.00021718998507771627,0,"[115, 675, 16, 335, 750, 89, 56, 224, 1121, 167]"
2,0.0002536341656633582,0,"[484, 678, 189, 447, 179, 284, 473, 662, 1041, 1121]"
2,0.00029619362959451735,0,"[792, 895, 1106, 1130, 1119, 500, 16, 115, 1121, 167]"
2,0.00034589451300033727,0,"[791, 632, 1106, 1130, 500, 43, 16, 115, 167, 1121]"
2,0.00040393513624019926,0,"[359, 657, 1130, 16, 792, 739, 43, 115, 167, 1121]"
2,0.0004717148961805861,0,"[16, 1106, 631, 792, 43, 500, 1130, 115, 167, 1121]"
2,0.0005508680065562379,0,"[252, 792, 43, 632, 500, 1130, 1106, 115, 167, 1121]"
2,0.0006433028999174784,0,"[950, 632, 1130, 43, 16, 500, 252, 115, 167, 1121]"
2,0.0007512482411700718,0,"[632, 500, 1119, 792, 1130, 43, 16, 115, 1121, 167]"
2,0.0008773066621237416,0,"[632, 43, 1106, 252, 1130, 16, 500, 115, 167, 1121]"
2,0.0010245175126239797,0,"[1106, 632, 252, 500, 792, 1130, 16, 115, 167, 1121]"
2,0.0011964301412374049,0,"[1106, 500, 1130, 792, 43, 252, 16, 115, 167, 1121]"
2,0.0013971894723352873,0,"[252, 1106, 792, 500, 43, 1130, 16, 115, 167, 1121]"
